Processes: 403 total, 2 running, 401 sleeping, 1668 threads 
2020/08/30 12:31:22
Load Avg: 1.51, 1.70, 1.70 
CPU usage: 7.53% user, 10.95% sys, 81.50% idle 
SharedLibs: 391M resident, 53M data, 48M linkedit.
MemRegions: 71844 total, 3169M resident, 139M private, 1212M shared.
PhysMem: 10G used (2497M wired), 5639M unused.
VM: 2216G vsize, 1991M framework vsize, 3152691(0) swapins, 3366775(0) swapouts.
Networks: packets: 9272571/9600M in, 5120610/866M out.
Disks: 3087464/43G read, 4711613/64G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW      MSGSENT   MSGRECV   SYSBSD   SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
49619  netbiosd         0.0  00:00.57 2     1   24     3272K 0B    2140K 49619 1     sleeping *0[1]       0.00000 0.00000    222 2995     166      772       187       31911    1351      10600     110     449      0.0   0      0      _netbios           N/A    N/A   N/A   N/A   N/A   N/A  
45711  com.apple.Safari 0.0  00:00.04 2     1   40     1732K 0B    1724K 45711 1     sleeping *0[1]       0.00000 0.00000    501 3226     194      140       44        973      317       250       1       0        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
45302  redis-server     0.0  00:19.05 4     0   17     2000K 0B    1748K 45302 1     sleeping *0[1]       0.00000 0.00000    501 1554     332      426204    213098    216877   426262    259007    30      104130   0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
41833  ocspd            0.0  00:04.52 2     1   34     1668K 0B    1028K 41833 1     sleeping *0[1]       0.00000 0.00000    0   1486     152      127832    668       158353   185681    80402     19      245      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
41412  tailspind        0.0  00:00.01 2     1   30     832K  0B    828K  41412 1     sleeping  0[0]       0.00000 0.00000    0   995      137      89        38        464      174       84        23      0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
33458  aslmanager       0.0  00:00.01 2     1   13     324K  0B    320K  33458 1     sleeping *0[1]       0.00000 0.00000    0   440      78       51        25        179      111       294       96      5        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
29590  applessdstatisti 0.0  00:00.01 2     1   38     696K  0B    692K  29590 1     sleeping *0[1]       0.00000 0.00000    0   772      133      86        37        427      191       38        6       1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
28626  com.apple.Charac 0.0  00:00.01 2     1   37     924K  0B    916K  28626 1     sleeping *0[1]       0.00000 0.00000    501 1180     149      123       39        559      271       80        5       2        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
23098  ssh-agent        0.0  00:00.02 1     0   21     732K  0B    724K  23098 1     sleeping *0[1]       0.00000 0.00000    501 808      144      93        31        712      202       125       118     1        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
21564  com.apple.audio. 0.0  00:00.01 2     1   23     816K  0B    808K  21564 1     sleeping *0[2]       0.00000 0.00000    501 1121     146      115       39        545      236       53        0       0        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
21519  com.apple.siri.C 0.0  00:00.06 2     1   48     3392K 0B    3384K 21519 1     sleeping  0[0]       0.00000 0.00000    501 3249     219      194       49        1122     413       232       40      6        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
21327  periodic-wrapper 0.0  00:00.00 2     1   26     396K  0B    392K  21327 1     sleeping *0[1]       0.00000 0.00000    0   393      80       81        35        252      174       49        2       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
21233  photoanalysisd   0.0  01:56.75 2     1   127    39M   17M   11M   21233 1     sleeping *0[2546]    0.00000 0.00000    501 228030   475      39414     6828      1405918  1117844   393878    8907    1318     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
20950  vmstarter        0.0  00:00.84 3     1   149    4196K 0B    1360K 20950 1     sleeping *0[1008]    0.00000 0.00000    501 13650    281      11701     2431      13343    25683     14405     58      308      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
20781  IMRemoteURLConne 0.0  00:00.92 3     1   74     4812K 0B    2008K 20781 1     sleeping *0[61]      0.00000 0.00000    501 9116     203      1378      9664      32584    21535     46027     2       479      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
20780  CallHistorySyncH 0.0  00:01.98 2     1   93     7264K 64K   3544K 20780 1     sleeping *0[505]     0.00000 0.00000    501 17183    325      13509     3361      50764    33981     36807     84      341      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
20686  LocationMenu     0.0  00:25.26 4     2   156    6476K 0B    3272K 20686 1     sleeping *0[678]     0.00000 0.00000    501 191845   279      230224    55535     208051   366582    142736    94      2671     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
20441  FinderSyncExt    0.0  00:00.76 3     1   159    6696K 0B    3956K 20441 1     sleeping *0[694]     0.00000 0.00000    501 13154    611      9271      2208      14287    21509     14097     21      224      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
20146  studentd         0.0  00:12.47 2     1   129    16M   1708K 6128K 20146 1     sleeping *0[1]       0.00000 0.00000    501 60401    466      47489     8510      240540   142211    110235    940     3642     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
20135  CAReportingServi 0.0  00:01.29 2     1   27     2864K 0B    2860K 20135 1     sleeping *0[765]     0.00000 0.00000    0   10033    144      44701     19697     40574    40874     15527     15      378      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
19926  CategoriesServic 0.0  00:00.15 2     1   35     2720K 0B    1860K 19926 1     sleeping *0[75]      0.00000 0.00000    501 5191     153      697       374       4230     1303      2158      0       54       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
19921  QuickLookUIServi 0.0  00:01.87 3     1   137    3692K 0B    1372K 19921 1     sleeping  0[5885]    0.00000 0.00000    501 13472    286      33232     8068      32097    92082     38289     12      1181     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
19920  com.apple.appkit 0.0  00:05.74 3     1   265    28M   0B    22M   19920 1     sleeping  0[5661]    0.00000 0.00000    501 82808    468      58475     17674     93418    139306    61257     214     1298     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
17753  IMAutomaticHisto 0.0  00:00.23 2     1   66     2316K 0B    792K  17753 1     sleeping  0[0]       0.00000 0.00000    501 7582     207      1446      833       4986     3677      3850      25      167      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
17284  DiskUnmountWatch 0.0  00:00.12 2     1   50     2080K 0B    1228K 17284 1     sleeping  0[0]       0.00000 0.00000    501 4061     170      349       264       4205     933       1784      19      49       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
17282  DiskArbitrationA 0.0  00:00.05 2     1   36     1212K 0B    716K  17282 1     sleeping *0[1]       0.00000 0.00000    501 1987     135      327       262       1762     676       1358      0       34       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
17202  distnoted        0.0  00:00.27 2     1   31     2576K 0B    2232K 17202 1     sleeping *0[1]       0.00000 0.00000    89  1839     98       3530      3094      12440    6588      3941      0       0        0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
10463  com.apple.Dictio 0.0  00:00.01 2     1   25     840K  0B    832K  10463 1     sleeping *0[3]       0.00000 0.00000    501 988      129      142       48        596      299       80        2       6        0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5820   progressd        0.0  00:00.33 2     1   52     2800K 0B    1704K 5820  1     sleeping *0[327]     0.00000 0.00000    501 5323     257      3249      1188      6385     7734      7336      284     85       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
5818   appstored        0.0  00:02.13 2     1   33     3228K 0B    2560K 5818  1     sleeping *0[2]       0.00000 0.00000    0   16540    185      6656      407       79407    26224     46075     22      7360     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
5816   com.apple.CloudP 0.0  00:00.69 2     1   68     5356K 192K  2116K 5816  1     sleeping *0[397]     0.00000 0.00000    501 10924    243      6383      2762      15529    19398     12524     260     148      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
